NODES 17
label x y
N0 0.0 0.0
N1 0.0 0.0
N2 0.0 0.0
N3 0.0 0.0
N4 0.0 0.0
N5 0.0 0.0
N6 0.0 0.0
N7 0.0 0.0
N8 0.0 0.0
N9 0.0 0.0
N10 0.0 0.0
N11 0.0 0.0
N12 0.0 0.0
N13 0.0 0.0
N14 0.0 0.0
N15 0.0 0.0
N16 0.0 0.0

EDGES 52
label src dest weight bw delay
Link_0 0 2 100 10000 1
Link_1 0 8 40 25000 1
Link_2 1 2 100 10000 1
Link_3 1 3 100 10000 1
Link_4 1 4 100 10000 1
Link_5 2 4 40 25000 1
Link_6 2 0 100 10000 1
Link_7 2 1 100 10000 1
Link_8 3 4 100 10000 1
Link_9 3 9 100 10000 1
Link_10 3 1 100 10000 1
Link_11 4 8 40 25000 1
Link_12 4 9 100 10000 1
Link_13 4 10 40 25000 1
Link_14 4 3 100 10000 1
Link_15 4 1 100 10000 1
Link_16 4 2 40 25000 1
Link_17 5 6 40 25000 1
Link_18 5 8 40 25000 1
Link_19 6 7 40 25000 1
Link_20 6 5 40 25000 1
Link_21 7 8 40 25000 1
Link_22 7 10 25 40000 1
Link_23 7 6 40 25000 1
Link_24 8 0 40 25000 1
Link_25 8 4 40 25000 1
Link_26 8 5 40 25000 1
Link_27 8 7 40 25000 1
Link_28 9 10 100 10000 1
Link_29 9 12 100 10000 1
Link_30 9 3 100 10000 1
Link_31 9 4 100 10000 1
Link_32 10 11 40 25000 1
Link_33 10 12 10 100000 1
Link_34 10 4 40 25000 1
Link_35 10 7 25 40000 1
Link_36 10 9 100 10000 1
Link_37 11 13 40 25000 1
Link_38 11 10 40 25000 1
Link_39 12 14 40 25000 1
Link_40 12 16 25 40000 1
Link_41 12 10 10 100000 1
Link_42 12 9 100 10000 1
Link_43 13 14 40 25000 1
Link_44 13 11 40 25000 1
Link_45 14 15 40 25000 1
Link_46 14 13 40 25000 1
Link_47 14 12 40 25000 1
Link_48 15 16 40 25000 1
Link_49 15 14 40 25000 1
Link_50 16 15 40 25000 1
Link_51 16 12 25 40000 1
