NODES 24
label x y
N0 0.0 0.0
N1 0.0 0.0
N2 0.0 0.0
N3 0.0 0.0
N4 0.0 0.0
N5 0.0 0.0
N6 0.0 0.0
N7 0.0 0.0
N8 0.0 0.0
N9 0.0 0.0
N10 0.0 0.0
N11 0.0 0.0
N12 0.0 0.0
N13 0.0 0.0
N14 0.0 0.0
N15 0.0 0.0
N16 0.0 0.0
N17 0.0 0.0
N18 0.0 0.0
N19 0.0 0.0
N20 0.0 0.0
N21 0.0 0.0
N22 0.0 0.0
N23 0.0 0.0

EDGES 74
label src dest weight bw delay
Link_0 0 1 40 25000 1
Link_1 0 2 100 10000 1
Link_2 1 0 40 25000 1
Link_3 1 3 40 25000 1
Link_4 1 6 100 10000 1
Link_5 1 9 40 25000 1
Link_6 2 0 100 10000 1
Link_7 2 3 40 25000 1
Link_8 2 4 40 25000 1
Link_9 3 1 40 25000 1
Link_10 3 2 40 25000 1
Link_11 3 5 40 25000 1
Link_12 3 6 40 25000 1
Link_13 4 2 40 25000 1
Link_14 4 7 10 100000 1
Link_15 5 3 40 25000 1
Link_16 5 8 40 25000 1
Link_17 6 1 100 10000 1
Link_18 6 3 40 25000 1
Link_19 6 8 25 40000 1
Link_20 6 9 40 25000 1
Link_21 7 4 10 100000 1
Link_22 7 8 10 100000 1
Link_23 7 11 40 25000 1
Link_24 8 5 40 25000 1
Link_25 8 6 25 40000 1
Link_26 8 12 10 100000 1
Link_27 8 7 10 100000 1
Link_28 8 11 40 25000 1
Link_29 8 17 25 40000 1
Link_30 8 18 40 25000 1
Link_31 8 20 40 25000 1
Link_32 9 1 40 25000 1
Link_33 9 6 40 25000 1
Link_34 9 10 100 10000 1
Link_35 9 12 25 40000 1
Link_36 9 13 100 10000 1
Link_37 10 9 100 10000 1
Link_38 10 13 100 10000 1
Link_39 11 7 40 25000 1
Link_40 11 8 40 25000 1
Link_41 11 14 25 40000 1
Link_42 11 20 100 10000 1
Link_43 12 8 10 100000 1
Link_44 12 9 25 40000 1
Link_45 12 13 25 40000 1
Link_46 12 19 40 25000 1
Link_47 12 21 40 25000 1
Link_48 13 9 100 10000 1
Link_49 13 10 100 10000 1
Link_50 13 12 25 40000 1
Link_51 14 11 25 40000 1
Link_52 14 15 40 25000 1
Link_53 15 14 40 25000 1
Link_54 15 16 100 10000 1
Link_55 16 15 100 10000 1
Link_56 16 17 40 25000 1
Link_57 17 8 25 40000 1
Link_58 17 16 40 25000 1
Link_59 17 18 100 10000 1
Link_60 18 8 40 25000 1
Link_61 18 17 100 10000 1
Link_62 18 21 40 25000 1
Link_63 19 12 40 25000 1
Link_64 19 23 40 25000 1
Link_65 20 8 40 25000 1
Link_66 20 11 100 10000 1
Link_67 21 12 40 25000 1
Link_68 21 18 40 25000 1
Link_69 21 22 100 10000 1
Link_70 22 21 100 10000 1
Link_71 22 23 100 10000 1
Link_72 23 19 40 25000 1
Link_73 23 22 100 10000 1
