NODES 14
label x y
N0 0.0 0.0
N1 0.0 0.0
N2 0.0 0.0
N3 0.0 0.0
N4 0.0 0.0
N5 0.0 0.0
N6 0.0 0.0
N7 0.0 0.0
N8 0.0 0.0
N9 0.0 0.0
N10 0.0 0.0
N11 0.0 0.0
N12 0.0 0.0
N13 0.0 0.0

EDGES 42
label src dest weight bw delay
Link_0 0 1 44200 10000 1
Link_1 0 3 44200 10000 1
Link_2 0 2 44200 10000 1
Link_3 1 0 44200 10000 1
Link_4 1 2 44200 10000 1
Link_5 1 7 44200 10000 1
Link_6 2 0 44200 10000 1
Link_7 2 1 44200 10000 1
Link_8 2 5 44200 10000 1
Link_9 3 0 44200 10000 1
Link_10 3 4 44200 10000 1
Link_11 3 8 44200 10000 1
Link_12 4 3 44200 10000 1
Link_13 4 5 44200 10000 1
Link_14 4 6 44200 10000 1
Link_15 5 2 44200 10000 1
Link_16 5 4 44200 10000 1
Link_17 5 12 44200 10000 1
Link_18 5 13 44200 10000 1
Link_19 6 4 44200 10000 1
Link_20 6 7 44200 10000 1
Link_21 7 1 44200 10000 1
Link_22 7 6 44200 10000 1
Link_23 7 10 44200 10000 1
Link_24 8 3 44200 10000 1
Link_25 8 9 44200 10000 1
Link_26 8 11 44200 10000 1
Link_27 9 8 44200 10000 1
Link_28 9 10 44200 10000 1
Link_29 9 12 44200 10000 1
Link_30 10 7 44200 10000 1
Link_31 10 9 44200 10000 1
Link_32 10 11 44200 10000 1
Link_33 10 13 44200 10000 1
Link_34 11 8 44200 10000 1
Link_35 11 10 44200 10000 1
Link_36 11 12 44200 10000 1
Link_37 12 5 44200 10000 1
Link_38 12 9 44200 10000 1
Link_39 12 11 44200 10000 1
Link_40 13 5 44200 10000 1
Link_41 13 10 44200 10000 1
